Параметр,Тип [1]_,Формат,Опис
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).name,M,string,"Повне найменування Проміжного складу (Вантажовідправник/Перевізник/Експедитор/Вантажоодержувач/Товарний склад), що приймає від Перевізника на тимчасове зберігання вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).roleCode,M,string,Роль учасника (Проміжний склад - WD). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**tradeContact**.personName,O,string,ПІБ відповідальні особи Проміжного складу
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**postalTradeAddress**.postCode,O,string,Індекс
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**postalTradeAddress**.streetName,M,string,Адреса (Назва вулиці + номер будівлі)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**postalTradeAddress**.cityName,M,string,Місто (Назва населеного пункту)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**postalTradeAddress**.countryID,M,string,Країна (UA)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**taxRegistration**.id,O,string,РНОКПП відповідальної особи
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryInstructions**.description,O,string,"Опис (вид роботи перевізника: за відрядним тарифом, за погодинним тарифом, за покілометровим тарифом, централізовані перевезення тощо)"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryInstructions**.descriptionCode,M,string,Код (TRANSPORTATION_TYPE)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**previousAdministrativeReferencedDocument**.typeCode,O,string,"Тип документа, на основі якого складено поточний документ. `Довідник кодів документів <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**previousAdministrativeReferencedDocument**.id,M,string,Відповідає ExchangedDocumentContext.SpecifiedTransactionID попередніх версій
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**previousAdministrativeReferencedDocument**.remarks,O,string,Base64 документа попередньої версії
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**previousAdministrativeReferencedDocument**.**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання попереднього ECMR документа
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**previousAdministrativeReferencedDocument**.**attachedSpecifiedBinaryFile**.id,M,string,Відповідає document.id із ЦБД еТТН
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**previousAdministrativeReferencedDocument**.**attachedSpecifiedBinaryFile**.uriid,M,string,Посилання на документ
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**previousAdministrativeReferencedDocument**.**attachedSpecifiedBinaryFile**.MIMECode,O,string,Код `MIME типізації <https://uk.wikipedia.org/wiki/MIME_%D1%82%D0%B8%D0%BF>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**previousAdministrativeReferencedDocument**.**attachedSpecifiedBinaryFile**.SizeMeasure,M,Long,Розмір файлу
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CZ).signingPartyRoleCode,M,string,Роль підписанта (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CZ).partySignature,M,string,Підпис (base64 підпису p7s)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CZ).name,M,string,ПІБ підписанта (відповідальної особи вантажовідправника)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CZ).position,O,string,Посада підписанта (відповідальної особи вантажовідправника)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CZ).**specifiedTaxRegistration**.id,M,string,РНОКПП відповідальної особи вантажовідправника
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=DR).signingPartyRoleCode,M,string,Роль підписанта (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=DR).partySignature,M,string,Підпис (base64 підпису p7s)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=DR).name,M,string,ПІБ підписанта (Водія)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=DR).position,O,string,Посада підписанта (Водія)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=DR).**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Водія)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CA).signingPartyRoleCode,M,string,Роль підписанта (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CA).partySignature,M,string,Підпис (base64 підпису p7s)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CA).name,M,string,ПІБ підписанта (відповідальної особи Перевізника)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CA).position,O,string,Посада підписанта (відповідальної особи Перевізника)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CA).**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Перевізника)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CN).signingPartyRoleCode,M,string,Роль підписанта (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CN).partySignature,M,string,Підпис (base64 підпису p7s)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CN).name,M,string,ПІБ підписанта (відповідальної особи Вантажоодержувача)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CN).position,O,string,Посада підписанта (відповідальної особи Вантажоодержувача)
**UAECMR**.**signatureStorage**.**signatures**(SigningPartyRoleCode=CN).**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Вантажоодержувача)
