Code,Name,Description,,Назва укр.,Опис укр.
IC,Intermediate consignee ,"
 The intermediate consignee.",,Проміжний вантажоодержувач,Проміжний вантажоодержувач.
ID,Replacing manufacturer ,"
 A code used to identify a party who replaces the previous party for the manufacture of an article.",,Заміна виробника,"Код, який використовується для ідентифікації сторони, яка замінює попередню сторону для виготовлення виробу."
IE,Non-resident third party company with whom financial account is held ,"
 Identifies the non-resident third party company with whom the financial account is held.",,"Компанія-нерезидент, у якої є фінансовий рахунок","Ідентифікує компанію-нерезидента, з якою ведеться фінансовий рахунок."
IF,Non-resident group company with whom financial account is held ,"
 Identifies the non-resident group company with whom the financial account is held.",,"Компанія групи нерезидентів, у якої ведеться фінансовий рахунок","Визначає компанію-групу-нерезидента, з якою ведеться фінансовий рахунок."
IG,Non-resident beneficiary ,"
 The ultimate non-resident recipient of the funds. Normally the account owner who is reimbursed by the payer.",,Бенефіціар-нерезидент,"Кінцевий одержувач коштів-нерезидент. Зазвичай це власник рахунку, який отримує відшкодування від платника."
IH,Resident beneficiary ,"
 The ultimate resident recipient of the funds. Normally the account owner who is reimbursed by the payer.",,Бенефіціар-резидент,"Кінцевий одержувач коштів-резидент. Зазвичай це власник рахунку, який отримує відшкодування від платника."
II,Invoice issuer ,"
 [3028] Party issuing an invoice.",,Видавець рахунків-фактур,"[3028] Сторона, яка видає рахунок-фактуру."
IJ,Non-resident instructing party ,"
 Identifies the non-resident party originating the instruction.",,Інструктуюча сторона-нерезидент,"Ідентифікує сторону-нерезидента, яка подала інструкцію."
IL,Resident instructing party ,"
 Identifies the resident party originating the instruction.",,Резидент інструктуючої сторони,"Вказує сторону-резидента, яка надала інструкцію."
IM,Importer ,[3020] Party who makes - or on whose behalf a Customs clearing agent or other authorized person makes - an import declaration. This may include a person who has possession of the goods or to whom the goods are consigned.,,Імпортер,"[3020] Сторона, яка складає - або від імені якої здійснює агент митного оформлення або інша уповноважена особа - імпортну декларацію. Це може бути особа, яка володіє товаром або якій товар передається."
IN,Insurer , [3070] A person or company offering insurance policies for premiums.,,Страховик,"[3070] Особа або компанія, що пропонує страхові поліси за внески."
IO,Insurance company ,"
 A company engaged in the business of insurance.",,Страхова компанія,"Компанія, що займається страховою діяльністю."
IP,Insurance claim adjuster ,"
 [3360] A party which adjusts losses on behalf of an insurer.",,Регулятор страхових виплат,"[3360] Сторона, яка коригує збитки від імені страховика."
IQ,Domestic financial institution ,"
 Domestic party acting as financial institution.",,Внутрішня фінансова установа,"Внутрішня сторона, яка виступає як фінансова установа."
IR,Non-domestic financial institution ,"
 Non-domestic party acting as financial institution.",,Невітчизняна фінансова установа,"Сторона, що не є вітчизняною, діє як фінансова установа."
IS,Party to receive certified inspection report ,"
 Party (at buyer) to receive certified inspection report.",,Сторона для отримання сертифікованого акта перевірки,"Сторона (у покупця), що може отримувати сертифікований акт перевірки."
IT,Installation on site ,"
 A party who possesses the site on which an installation shall be made.",,Установка на місці,"Сторона, яка володіє майданчиком, на якому має бути встановлена ​​установка."
IU,Non-resident debtor ,"
 Non-resident party who makes the payment or against whom a claim exists.",,Боржник-нерезидент,"Сторона-нерезидент, яка здійснює платіж або до якої існує вимога."
IV,Invoicee ,"
 [3006] Party to whom an invoice is issued.",,Стороні рахунок-фактура,"[3006] Сторона, якій виставлено рахунок -фактуру."
IW,Non-resident creditor ,"
 Non-resident party receiving the payment or against whom a liability exists.",,Кредитор-нерезидент,"Сторона-нерезидент, яка отримує платіж або перед якою існує відповідальність."
IX,Supplier work team ,"
 The supplier's team responsible for performing the work.",,Робоча група постачальників,"Команда постачальника, відповідальна за виконання робіт."
IY,Tenant manager , A code to identify the party who rents the rights to use the goodwill and facilities of an enterprise.,,Менеджер орендарів,"Код для ідентифікації сторони, яка орендує права користування діловою репутацією та засобами підприємства."
IZ,Party mandated to liquidate an enterprise , A code to identify the party who has been legally mandated to sell off an enterprise.,,"Сторона, уповноважена ліквідувати підприємство","Код для ідентифікації сторони, яка за законом отримала повноваження розпродати підприємство."
JA,Certified accountant ,"
 Code identifying the party as a certified accountant.",,Дипломований бухгалтер,"Код, що ідентифікує сторону як дипломованого бухгалтера."
JB,Goods collection party ,"
 Party that will collect or has collected the goods.",,Сторона збору товарів,"Сторона, яка збиратиме або зібрала товар."
JC,Party at final place of positioning," 
 Identifies the party at the final place of positioning.",,Сторона в кінцевому місці позиціонування,Ідентифікує сторону в кінцевому місці позиціонування.
JD,Customs office of clearance ,"
 Identifies the office where customs clearance procedures take place.",,Митниця оформлення,"Визначає орган, де проводяться процедури митного оформлення."
JE,Party from whom customs documents are to be picked up ,"
 Identification of the party from whom customs documents are to be picked up.",,"Сторона, у якої необхідно забрати митні документи","Ідентифікація сторони, у якої потрібно забрати митні документи."
JF,Party from whom non-customs documents are to be picked up ,"
 Identification of the party from whom non-customs documents are to be picked up.",,"Сторона, у якої необхідно забрати немитні документи","Ідентифікація сторони, у якої потрібно забрати немитні документи."
JG,Party to receive customs documents ,"
 Identification of the party to whom customs documents are to be delivered.",,Сторона отримання митних документів,"Ідентифікація сторони, якій мають бути доставлені митні документи."
JH,Party to receive non-customs documents ,"
 Identification of the party to whom non-customs documents are to be delivered.",,Сторона отримання немитних документів,"Ідентифікація сторони, якій мають бути доставлені немитні документи."
LA,Party designated to provide living animal care ,"
 Party responsible to take care of transported living animals.",,"Сторона, призначена для догляду за живими тваринами","Сторона, відповідальна за догляд за транспортованими живими тваринами."
LB,Co-producer ,"
 A code used to identify a party who participates in production.",,Співвиробник,"Код, який використовується для ідентифікації сторони, яка бере участь у виробництві."
LC,Party declaring the Value Added Tax (VAT) ,"
 A code to identify the party who is responsible for declaring the Value Added Tax (VAT) on the sale of goods or services.",,"Сторона, яка декларує податок на додану вартість (ПДВ)","Код для ідентифікації сторони, відповідальної за декларування податку на додану вартість (ПДВ) при продажу товарів чи послуг."
LD,Party recovering the Value Added Tax (VAT) ,"
 A code to identify the party who is eligible to recover the Value Added Tax (VAT) on the sale of goods or services.",,"Сторона, що стягує податок на додану вартість (ПДВ)","Код для ідентифікації сторони, яка має право на стягнення податку на додану вартість (ПДВ) при продажу товарів або послуг."
LE,Person on claim ,"
 To identify the person who is the subject of the claim.",,Особа за позовом,"Встановити особу, яка є суб’єктом позову."
LF,Buyer's corporate office ,"
 The identification of the buyer's corporate office.",,Корпоративний офіс покупця,Ідентифікація корпоративного офісу покупця.
LG,Supplier's corporate office ,"
 The identification of the supplier's corporate office.",,Корпоративний офіс постачальника,Ідентифікація корпоративного офісу постачальника.
LH,Liquidator ,"
 The party responsible for settling or paying a debt.",,Ліквідатор,"Сторона, відповідальна за погашення або сплату боргу."
LI,Account coordinator ,"
 An individual with coordination responsibilities for a specific account.",,Координатор рахунку,"Фізична особа, відповідальна за координацію конкретного рахунку."
LJ,Inspection leader ,"
 An individual responsible for an inspection team.",,Керівник інспекції,"Особа, відповідальна за інспекційну групу."
LK,Patient ,"
 A person receiving or registered to receive medical treatment.",,Пацієнт,"Особа, яка отримує або зареєстрована для лікування."
LL,Patient companion ,"
 Person accompanying the patient.",,Супроводжуючий пацієнта,"Особа, яка супроводжує пацієнта."
LM,Medical treatment executant ,"
 The party who executes a medical treatment.",,Надавач медичної допомоги,"Сторона, яка проводить лікування."
LN,Lender ,"
 Party lending goods or equipment.",,Кредитор,"Сторона, що позичає товари чи обладнання."
LO,Medical treatment prescriber ,"
 The party who prescribes a medical treatment.",,"Лікар, що призначив лікування","Сторона, яка призначає лікування."
LP,Loading party ,"
 Party responsible for the loading when other than carrier.",,Сторона для завантаження,"Сторона, відповідальна за навантаження, якщо не є перевізником."
LQ,Debt payment authorisation party ,"
 A party which authorises the payment of a debt.",,Сторона авторизації оплати боргу,"Сторона, яка надає дозвіл на виплату боргу."
LR,Administration centre ,"
 Identification of an administration centre.",,Адміністративний центр,Ідентифікація адміністративного центру.
LS,Product services and repairs centre ,"
 A centre which services and repairs products.",,Центр обслуговування та ремонту продукції,Центр обслуговування та ремонту продукції.
LT,Secretariat ,"
 Party is a secretariat.",,Секретаріат,Сторона - це секретаріат.
LU,Entry point technical assessment group ,"
 Party acts as an entry point for technical assessment.",,Група технічної оцінки пункту входу,Сторона виступає як точка входу для технічної оцінки.
LV,Party assigning a status ,"
 Party responsible for assigning a status.",,"Сторона, яка присвоює статус","Сторона, відповідальна за присвоєння статусу."
MA,Party for whom item is ultimately intended," 
 Party for whom item is ultimately intended.",,"Сторона, для якої товар призначений в кінцевому підсумку","Сторона, для якої товар призначений в кінцевому підсумку."
MAD,Meter administrator ,"
 A party responsible for keeping a register of meters and related characteristics.",,Адміністратор даних,"Сторона, відповідальна за ведення реєстру даних та відповідних характеристик."
MDR,Metered data responsible ,"
 A party responsible for the establishment and validation of metered data received from the Metered Data Collector.",,Відповідальні дані обліку,"Сторона, відповідальна за встановлення та перевірку даних обліку, отриманих від збирача даних обліку."
MF,Manufacturer of goods ,"
 [3513] Party who manufactures the goods.",,Виробник товару,"[3513] Сторона, яка виробляє товари."
MG,Party designated to execute re-icing ,"
 Party designated to execute re-icing, selected in the official list of mandatories competent for this kind of operation.",,"Сторона, призначена для виконання повторного заморожування","Сторона, призначена для проведення повторного заморожування, обрана в офіційному переліку мандатів, компетентних для такого роду операцій."
MI,Planning schedule/material release issuer," 
 A party issuing a planning schedule/material release.",,Графік планування/випуск матеріалу,"Сторона, яка видає графік планування/випуск матеріалів."
MOP,Market operator ,"
 Operator of a market, e.g . In the utilities sector, the unique power exchange of trades for the actual delivery of energy that can also establish area prices for settlement and reconciliation.",,Оператор ринку,"Оператор ринку, напр. У комунальному секторі - унікальний обмін електроенергією для фактичної доставки енергії, який також може встановлювати ціни на територію для розрахунків та узгодження."
MP,Manufacturing unit ,"
 A party acting as a particular production unit of a manufacturer.",,Виробнича одиниця,"Сторона, яка виступає в ролі окремої виробничої одиниці виробника."
MR,Message recipient ,"
 A party to receive a message or messages.",,Одержувач повідомлення,Сторона для отримання повідомлення або повідомлень.
MS,Document/message issuer/sender," 
 [3522] Issuer of a document and/or sender of a message.",,Видавець документа/повідомлення/відправник,[3522] Емітент документа та/або відправник повідомлення.
MT,Party designated to execute sanitary procedures ,"
 A party which is designated to execute sanitary procedures.",,"Сторона, призначена для виконання санітарних процедур","Сторона, призначена для виконання санітарних процедур."
N2,Notify party no. 2 ,"
 [3376] The second party which is to be notified.",,Повідомити сторону № 2,"[3376] Друга сторона, яку слід повідомити."
NI,Notify party ,"
 [3180] Party to be notified. Synonym: Notify party No. 1.",,Повідомити сторону,"[3180] Сторона, яку слід повідомити. Синонім: Повідомити сторону № 1."
OA,Break bulk berth operator ,"
 Party who offers facilities for berthing of vessels, handling and storage of break bulk cargo.",,Оператор причалу та насипних вантажів,"Сторона, яка пропонує засоби для причалу суден, обробки та зберігання розсипних вантажів."
OB,Ordered by ,"
 Party who issued an order.",,Замовлено,"Сторона, яка випустила замовлення."
OC,Party data responsible party ,"
 The party responsible for all party data.",,"Сторона, відповідальна за дані сторін","Сторона, відповідальна за всі дані сторін."
OD,Equipment repair party ,"
 A party making repairs to equipment.",,Сторона для ремонту обладнання,"Сторона, яка проводить ремонт обладнання."
OE,Owner of property ,"
 Party owning a property.",,Власник майна,"Сторона, яка володіє нерухомістю."
OF,On behalf of ,"
 Party on behalf of which an action is executed.",,Від імені,"Сторона, від імені якої виконується дія."
OG,Owner or lessor's surveyor ,"
 Surveyor hired by the owner or lessor of the item.",,Геодезист власника або орендодавця,"Геодезист, найнятий власником або орендодавцем товару."
OH,Lessee's surveyor ,"
 Surveyor hired by the lessee of the item.",,Геодезист орендаря,"Геодезист, найнятий орендарем товару."
OI,Outside inspection agency," 
 Third party inspecting goods or equipment.",,Зовнішнє інспекційне агентство,"Третя сторона, що перевіряє товари чи обладнання."
OJ,Third party , Another party besides the two principals.,,Третя сторона,"Ще одна сторона, крім двох принципалів."
OK,Receiver's sub-entity ,"
 Identifies a sub-entity within the receiver's organization.",,Суб-суб'єкт одержувача,Визначає підсуб'єкта в організації одержувача.
OL,Case of need party ,"
 Party to be approached in case of difficulty.",,"Сторона, до якої слід звернутися у разі потреби","Сторона, до якої слід звернутися у разі труднощів."
OM,Collecting bank ," Any bank, other than the remitting bank, involved in processing the collection.",,Банк-збирач,"Будь-який банк, крім банку-переказувача, що бере участь у обробці надходжень."
ON,Remitting bank ,"
 The bank to which the principal has entrusted the handling of a collection.",,Банк-ремітент,"Банк, якому довіритель довірив обробку інкасо."
OO,Order of the shipper party , The owner of goods under consignment which are moving under a negotiable transport document and will only be released upon receipt of the original transport document.,,Замовлення вантажовідправника,"Власник вантажів, що перебувають у доставці, які переміщуються за оборотним транспортним документом і будуть випущені лише після отримання оригіналу транспортного документа."
OP,Operator of property or equipment," 
 (3174) The party which operates property or a unit of equipment.",,Оператор майна або обладнання,"(3174) Сторона, яка експлуатує майно або одиницю обладнання."
OQ,Collection principal ,"
 The party entrusting the handling of a collection to a bank.",,Довіритель інкасації,"Сторона, яка доручає обробку інкасо банку."
OR,Ordered bank ,"
 Identifies the bank servicing the account for the ordering customer or payer.",,Замовлений банк,"Ідентифікує банк, який обслуговує рахунок для клієнта-платника або платника."
OS,Original shipper ,"
 The original supplier of the goods.",,Початковий вантажовідправник,Перший постачальник товару.
OT,Outside test agency ,"
 Third party testing goods, equipment or services.",,Зовнішнє тестове агентство,"Третя сторона, що тестує товари, обладнання чи послуги."
OU,Account owner's servicing bank on the sending side ,"
 Identifies the financial institution on the sending side which services the account owner's bank account(s).",,Обслуговуючий банк власника рахунку на стороні відправника,"Ідентифікує фінансову установу на стороні відправника, яка обслуговує банківські рахунки власника рахунку."
OV,Transport means owner ,"
 Party owning the means of transport. No synonym of carrier (= CA).",,Транспортне значення власника,"Сторона, що володіє транспортними засобами. Не синонім перевізника (= CA)."
OW,Account owner's servicing bank on the receiving side ,"
 Identifies the financial institution on the receiving side which services the account owner's bank account(s).",,Обслуговуючий банк власника рахунку на стороні одержувача,"Вказує фінансову установу на стороні одержувача, яка обслуговує банківські рахунки власника рахунку."
OX,Sender's correspondent bank ,"
 The account, or branch of the sender, or another financial institution, through which the sender will reimburse the receiver.",,Банк-кореспондент відправника,"Рахунок, філія відправника або інша фінансова установа, через яку відправник відшкодує одержувачу."
OY,Ordering customer ,"
 Identifies the originator of the instruction.",,Замовлення клієнта,Визначає автора інструкції.
OZ,Receiver's correspondent bank ,"
 The branch of the receiver, or another financial institution, at which the funds will be made available to the receiver.",,Банк-кореспондент одержувача,"Філія одержувача або інша фінансова установа, в якій кошти будуть надані одержувачу."
P1,Contact party 1 ,"
 First party to contact.",,Контактна сторона 1,"Перша сторона, з якою потрібно зв’язатися."
P2,Contact party 2 ,"
 Second party to contact.",,Контактна сторона 2,Друга сторона для зв’язку.
P3,Contact party 3 ,"
 Third party to contact.",,Контактна сторона 3,Третя сторона для зв’язку.
P4,Contact party 4 ,"
 Fourth party to contact.",,Контактна сторона 4,"Четверта сторона, з якою слід зв'язатися."
PA,Party to receive inspection report ,"
 Party to whom the inspection report should be sent.",,Сторона для отримання акту перевірки,"Сторона, якій слід надіслати акт інспекції."
PB,Paying financial institution ,"
 Financial institution designated to make payment.",,Платіжна фінансова установа,"Фінансова установа, призначена для здійснення платежів."
PC,Actual purchaser's customer ,"
 Party the purchaser within the actual message is selling the ordered goods or services to.",,Фактичний замовник (покупець),"Сторона, де покупець у актуальному повідомленні продає замовлені товари чи послуги."
PD,Purchaser's department buyer ,"
 Purchasing department of buyer.",,Відділ закупівель покупця,Відділ закупівель покупця.
PE,Payee , Identifies the credit party when other than the beneficiary.,,Одержувач платежу,"Ідентифікує кредитну сторону, що не є бенефіціаром."
PF,Party to receive freight bill ,"
 Party to whom the freight bill should be sent.",,Сторона для отримання рахунку за перевезення,"Сторона, якій слід надіслати рахунок за фрахт."
PG,Prime contractor ,"
 Party responsible for the whole project if other than the buyer.",,Головний підрядник,"Сторона, відповідальна за весь проект, якщо такою не є покупець."
PH,Payer's financial institution ,"
 Institution chosen by the payer to execute financial transactions on his behalf.",,Фінансова установа платника,"Установа, обрана платником для здійснення фінансових операцій від його імені."
PI,Payee's company name/ID ,"
 Receiving company name/ID (ACH transfers).",,Назва компанії/ідентифікатор одержувача,Отримання назви компанії/ідентифікатора (перекази ACH).
PJ,Party to receive correspondence ,"
 Second party designated by a first party to receive certain correspondence in lieu of it being mailed directly to this first party.",,Сторона для отримання листування,"Друга сторона, призначена першою стороною для отримання певної кореспонденції замість того, щоб надсилати її безпосередньо цій першій стороні."
PK,Contact party ,"
 Party to contact.",,Контактна сторона,Сторона для зв'язку.
PM,Party to receive paper memo of invoice ,"
 Party being informed about invoice issue (via paper).",,Сторона для отримання витягу з паперової фактури,"Сторона, проінформована про виставлення рахунка-фактури (паперовим документом)."
PN,Party to receive shipping notice ,"
 The party is to be the recipient of the shipping notice.",,Сторона для отримання повідомлення про доставку,"Сторона, що є одержувачем повідомлення про доставку."
PO,Ordering party ,"
 To be used only if ordering party and buyer are not identical.",,Замовник,"Використовується тільки в тому випадку, якщо замовник і покупець не ідентичні."
POA,Port Authority ,"
 A governmental commission in charge of the traffic and regulations of a port.",,Адміністрація порту,"Урядова комісія, що відповідає за рух та правила порту."
PQ,Certifying party ,"
 A party which certifies something.",,Сертифікуюча сторона,"Сторона, яка щось засвідчує."
PR,Payer ,"
 [3308] Party responsible for making a payment.",,Платник,"[3308] Сторона, відповідальна за здійснення платежу."
PS,"Payer's company name/ID (Check, Draft or Wire) ","
 Party to send cheque, draft or wire for payment.",,"Назва компанії/ідентифікатор платника (чек, тратта або переказ)","Сторона надсилає чек, тратту або банківський переказ для оплати."
PT,Party to receive test report ,"
 A party which is named to be the recipient of test reports.",,Сторона для отримання звіту про випробування,"Сторона, призначена одержувачем звітів про випробування."
PW,Despatch party ,"
 [3282] Party where goods are to be, or have been, taken over by a carrier such as the place where a container is picked-up.",,Сторона відправлення,"[3282] Сторона, де вантаж має бути або був прийнятий перевізником, наприклад місце, де відбувається забір контейнера."
PX,Party to receive all documents ,"
 A party which is named to be the recipient of all documents.",,Сторона для отримання всіх документів,"Сторона, яка названа одержувачем усіх документів."
PY,Checking party ,"
 Party or contact designated on behalf of carrier or his agent to establish the actual figures for quantities, weight, volume and/or (cube) measurements of goods or containers which are to appear in the transport contract and on which charges will be based.",,Сторона для перевірки,"Сторона або контакт, призначений від імені перевізника або його агента для встановлення фактичних даних щодо вимірювань кількості, ваги, об’єму та/або товарів або контейнерів, які мають бути зазначені у транспортному контракті та на яких будуть грунтуватися збори."
PZ,Party to print some document," 
 The party that is to print a specific document.",,Сторона для друку документа,"Сторона, яка має надрукувати певний документ."
RA,Central bank or regulatory authority ,"
 Identifies central bank or regulatory authority which must be informed of certain aspects of a message.",,Центральний банк або контролюючий орган,"Визначає центральний банк або регуляторний орган, який повинен бути поінформований про певні аспекти повідомлення."
RB,Receiving financial institution," 
 Financial institution designated to receive payment.",,Приймаюча фінансова установа,"Фінансова установа, призначена для отримання платежів."
RCA,Reconciliation accountable ," A party that is financially accountable for reconciliation, e.g. for the reconciled volume of energy products for a profiled accounting point.",,Відповідальний за звірку,"Сторона, яка несе фінансову відповідальність за звірку, напр. для звіреного обсягу енергоносіїв для профільного облікового пункту."
RCR,Reconciliation responsible ,"
 A party that is responsible for reconciliation, e.g. reconciling volumes within a metering grid area.",,Відповідальність за звірку,"Сторона, яка відповідає за звірку, напр. узгодження обсягів у межах зони вимірювальної сітки."
RE,Party to receive commercial invoice remittance ,"
 Party to whom payment for a commercial invoice or bill should be remitted.",,Сторона для отримання грошового переказу комерційних рахунків,"Сторона, якій слід перерахувати оплату за комерційний рахунок -фактуру або рахунок."
RF,Received from ,"
 Name of a person or department which actually delivers the goods.",,Отримано від,"Ім'я особи або відділу, який фактично доставляє товар."
RH,Seller's financial institution ,"
 Financial institution designated by seller to receive payment. RDFI (ACH transfers).",,Фінансова установа продавця,"Фінансова установа, призначена продавцем для отримання платежу. RDFI (перекази ACH)."
RI,Reinsurance intermediary/broker ,"
 Intermediary party between ceding company and reinsurance.",,Перестраховий посередник/брокер,"Посередник між компанією, що передає право власності, та перестрахуванням."
RL,Reporting carrier (Customs) ,"
 Party who makes the cargo report to Customs.",,Звітний перевізник (митниця),"Сторона, яка подає звіт у митницю."
RM,Reporting carrier's nominated agent/representative (Customs) ,"
 Agent who formally makes a cargo report to Customs on behalf of the carrier.",,Визначений агент/представник перевізника -звітника (митниця),"Агент, який офіційно складає звіт про вантаж перед митницею від імені перевізника."
RP,Routing party ,"
 Party responsible for the selection of the carrier(s).",,"Сторона, відповідальна за маршрут","Сторона, відповідальна за вибір перевізника."
RS,Party to receive statement of account ,"
 Party to whom the statement of account should be sent.",,Сторона для отримання виписки з рахунку,"Сторона, якій слід надіслати виписку з рахунку."
RV,Receiver of cheque ,"
 Identifies the party which is to receive the actual cheque, when different from the receiver of funds.",,Одержувач чека,"Вказує сторону, яка має отримати фактичний чек, якщо він відрізняється від одержувача коштів."
RW,Issuer of waybill ,"
 Party issuing the contract (waybill) for carriage.",,Емітент дорожнього листа,"Сторона, що видає договір (накладну) на перевезення."
SB,Sales responsibility ,"
 A party being responsible for sales.",,Відповідальність за продаж,"Сторона, відповідальна за продажі."
SE,Seller ,"
 [3346] Party selling merchandise or services to a buyer.",,Продавець,[3346] Сторона продажу товару чи послуг покупцеві.
SF,Ship from ,"
 Identification of the party from where goods will be or have been shipped.",,Доставка з,"Ідентифікація сторони, з якої буде відвантажено або відвантажено товар."
SG,Store group ,"
 A chain of shops or stores.",,Група магазинів,Мережа магазинів.
SI,Shipping schedule issuer ,"
 The party which issues a shipping schedule.",,Видавець розкладу доставки,"Сторона, яка видає графік доставки."
SN,Store keeper ,"
 A party keeping a shop or store.",,Власник (утримувач) магазину,"Сторона, що утримує магазин."
SO,Sold to if different than bill to ," Party to whom the goods have been sold, if different to the bill to party.",,Продати якщо різниться від рахунку до,"Сторона, якій товар був проданий, якщо він відрізняється від рахунку сторони."
SPC,SOLAS verified gross mass responsible party ," Party responsible for declaration of the verified gross mass (weight) of a packed transport equipment according to SOLAS Chapter VI, Regulation 2, paragraphs 4-6.",,SOLAS перевірила валову масу відповідальної сторони,"Сторона, відповідальна за декларування перевіреної валової маси (ваги) упакованого транспортного обладнання відповідно до SOLAS Chapter VI, Regulation 2, paragraphs 4-6.."
SR,Seller agent ,[3254] Party representing the seller for the purpose of a trade transaction.,,Агент продавця,"[3254] Сторона, яка представляє продавця для цілей торгової операції."
SS,Social securities collector's office ,Party collecting social securities premiums.,,Колекторський орган соц захисту,"Сторона, що збирає премії за соціальні цінні папери."
ST,Ship to ,Identification of the party to where goods will be or have been shipped.,,Відправити до,"Ідентифікація сторони, де будуть відвантажені або відправлені товари."
SU,Supplier ,Party who supplies goods and or services.,,Постачальник,"Сторона, яка постачає товари та послуги."
SX,Surety for additions ,"Natural of legal person (generally a bank of insurance company) who accepts responsibility in due legal form for the financial guarantee to Customs of the payment of additional duties or fees that become due against a particular shipment, which have not previously been covered by surety.",,Поручительство на доповнення,"Фізична чи юридична особа (як правило, банк страхової компанії), яка у належній юридичній формі несе відповідальність за фінансову гарантію перед митницею щодо сплати додаткових мит або зборів, що підлягають сплаті за певний вантаж, які раніше не були покриті порукою."
SY,Surety ,Natural or legal person (generally a bank or insurance company) who accepts responsibility in due legal form for the financial consequences of non-fulfillment of another's obligations to the Customs (CCC).,,Поручительство,"Фізична або юридична особа (як правило, банк або страхова компанія), яка у належній юридичній формі несе відповідальність за фінансові наслідки невиконання чужих зобов’язань перед Митницею (CCC)."
SZ,Surety for antidumping/countervailing duty ,Natural or legal person that has been contracted by the importer to guarantee to Customs the payment of antidumping and/or countervailing duties that become due against a particular shipment.,,Поручительство щодо антидемпінгового/компенсаційного мита,"Фізична або юридична особа, з якою імпортер уклав договір щодо гарантування митниці сплати антидемпінгових та/або компенсаційних зборів, що підлягають сплаті за конкретне відвантаження."
TA,Legal receiver ,The party responsible for a receivership.,,Керуючий санацією,"Сторона, відповідальна за тимчасове адміністрування підприємства для недопущення ним банкрутства та повного виконання зобов'язань перед кредиторами (санацію). "
TB,Submitter ,To specify that the party is a submitter.,,Заявник,"Вказати, що сторона є заявником."
TC,Tax collector's office ,Party collecting taxes.,,Офіс податкового збору,"Сторона, що збирає податки."
TCP,Transit charge payer ,"Party, other than the ordering party, which has to pay the charges concerning the transit operations.",,Платник транзитного збору,"Сторона, крім замовляючої сторони, яка повинна сплатити витрати, що стосуються транзитних операцій."
TCR,Transport capacity responsible party ,Party responsible for transport capacity.,,Відповідальна особа за транспортні можливості,"Сторона, відповідальна за транспортну потужність."
TD,Party to receive technical documentation ,Party to whom technical documentation should be sent.,,Сторона для отримання технічної документації,"Сторона, якій необхідно надіслати технічну документацію."
TE,Bankruptcy referee ,To specify that the party is a referee in a bankruptcy case.,,Арбітр з банкрутства,"Для означення, що сторона є суддею у справі про банкрутство."
TF,Source of information ,To specify that the party is the source of information.,,Джерело інформації,"Вказати, що сторона є джерелом інформації."
TG,Judge ,To specify that the party is a judge.,,Суддя,"Вказати, що сторона є суддею."
TH,Attorney ,To specify that the party is an attorney.,,Адвокат,"Вказати, що сторона є адвокатом."
TI,Law firm ,To specify that the party is a law firm.,,Юридична фірма,"Вказати, що сторона є юридичною фірмою."
TJ,Trustee ,To specify that the party is a trustee.,,Довірена особа,"Вказати, що сторона є довіреною особою."
TK,Signatory ,To specify that the party is a signatory.,,Підписант,"Вказати, що сторона є підписантом."
TL,Occupant ,The party is an occupant.,,Мешканець,Сторона є мешканцем.
TM,Co-occupant ,The party is a co-occupant.,,Співмешканець,Сторона є співмешканцем.
TN,Subject of inquiry ,The party is the subject of an inquiry.,,Предмет розслідування,Сторона є предметом розслідування.
TO,Lessor ,The party is a lessor.,,Орендодавець,Сторона є орендодавцем.
TP,Owner of residence ,Identifies the owner of a residence.,,Власник місця проживання,Вказує власника житла.
TQ,Founder ,Identifies the founder.,,Засновник,Ідентифікує засновника.
TR,Terminal operator ,A party which handles the loading and unloading of marine vessels.,,Оператор терміналу,"Сторона, яка здійснює навантаження та розвантаження морських суден."
TS,Party to receive certified test results ,Party to whom the certified test results should be sent.,,Сторона для отримання сертифікованих результатів тестування,"Сторона, якій слід надіслати результати сертифікованих випробувань."
TT,Transfer to ,The party which is the recipient of a transfer.,,Переказ до,"Сторона, яка є одержувачем переказу."
TU,President ,Identifies the president.,,Президент,Ідентифікує президента.
TV,Chairperson ,Identifies the chairperson.,,Голова,Ідентифікує головуючого.
TW,Legal title holder ,Identifies the legal title holder.,,Правовласник,Визначає правовласника.
TX,Shareholder ,Identifies a shareholder.,,Акціонер,Визначає акціонера.
TY,Provider ,Identifies the provider.,,Провайдер,Ідентифікує постачальника.
TZ,Military branch ,Identifies the branch of the military.,,Військова гілка,Визначає військову галузь.
UA,Educational institution ,"Identifies a university, college or school.",,Навчальний заклад,"Визначає університет, коледж чи школу."
UB,Assignor ,Identifies the assignor.,,Цедент,Ідентифікує цедента.
UC,Ultimate consignee ,Party who has been designated on the invoice or packing list as the final recipient of the stated merchandise.,,Кінцевий вантажоодержувач,"Сторона, яка зазначена у рахунку -фактурі або пакувальному листі як кінцевий одержувач зазначеного товару."
UD,Ultimate customer ,The final recipient of goods.,,Кінцевий замовник,Кінцевий одержувач товару.
UE,Advisor ,Identifies the advisor.,,Радник,Визначає радника.
UF,Co-defendant ,Identifies the co-defendant.,,Співвідповідач,Ідентифікує співвідповідача.
UG,Merged company with retained identity ,Company whose identity has been retained from a merger.,,Об’єднана компанія із збереженою ідентичністю,"Компанія, особа якої збереглася після злиття."
UH,Party represented ,Identifies the party represented.,,Представлена сторона,Ідентифікує представлену сторону.
